ES0001|2.0E7|2018-05-14|Admin|69 109 112 108 111 121 101 101 115 32 83 97 108 97 114 121 32 105 110 32 77 97 121 44 50 48 49 56  |
ES0002|1000000.0|2018-04-29|Admin|69 108 101 99 116 114 105 99 105 116 121 32 66 105 108 108 32 105 110 32 65 112 114 105 108 44 50 48 49 56  |
ES0003|500000.0|2018-04-30|Admin|87 97 116 101 114 32 66 105 108 108  |
ES0004|2.0E7|2018-04-15|Admin|69 109 112 108 111 121 101 101 32 83 97 108 97 114 121  |
ES0005|1200000.0|2018-02-28|Admin|69 108 101 99 116 114 105 99 105 116 121 32 66 105 108 108  |
ES0006|600000.0|2018-03-29|Admin|87 97 116 101 114 32 66 105 108 108  |
ES0007|3000000.0|2018-03-10|Admin|77 97 105 110 116 101 110 97 110 99 101 32 99 111 115 116  |
ES0008|634900.0|2018-02-26|Admin|87 97 116 101 114 32 66 105 108 108  |
ES0009|2.0E7|2018-02-15|Admin|69 109 112 108 111 121 101 101 32 83 97 108 97 114 121  |
ES0010|560000.0|2018-05-09|Admin|70 105 120 32 108 101 97 107 105 110 103 32 112 105 112 101 108 105 110 101 32  |
ES0011|1.2499999E7|2018-04-10|Admin|66 117 121 32 110 101 119 32 84 86  |
ES0012|1.5799999E7|2018-05-03|Admin|66 117 121 32 110 101 119 32 99 111 109 112 117 116 101 114 115 32 102 111 114 32 99 97 115 104 105 101 114 115  |
ES0013|5000000.0|2018-04-30|Admin|79 117 116 105 110 103 32 101 118 101 110 116 115 32 102 111 114 32 101 109 112 108 111 121 101 101 115  |
ES0014|1.8E7|2018-01-15|Admin|80 97 121 105 110 103 32 115 97 108 97 114 121 32 102 111 114 32 101 109 112 108 111 121 101 101 115  |
ES0015|1404994.0|2018-01-30|Admin|69 108 101 99 116 114 105 99 105 116 121 32 66 105 108 108  |
ES0016|499000.0|2018-01-29|Admin|87 97 116 101 114 32 66 105 108 108  |
ES0017|500000.0|2018-04-28|Admin|73 110 116 101 114 110 101 116 32 66 105 108 108  |
ES0018|500000.0|2018-03-29|Admin|73 110 116 101 114 110 101 116 32 66 105 108 108  |
ES0019|500000.0|2018-02-26|Admin|73 110 116 101 114 110 101 116 32 66 105 108 108  |
ES0020|500000.0|2018-01-30|Admin|73 110 116 101 114 110 101 116 32 98 105 108 108  |
ES0021|900000.0|2018-03-08|Admin|66 117 121 105 110 103 32 103 105 102 116 115 32 102 111 114 32 119 111 109 101 110 32 101 109 112 108 111 121 101 101 115  |
